Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
"$3,500 or more",0,0,0,0,0,0,0,0,0,7,Boorhaman North
Personal income not stated,0,0,0,0,0,0,0,0,0,4,Boorhaman North
Total,3,0,7,9,4,6,8,6,0,46,Boorhaman North
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
$1-$149,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
$150-$299,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
$300-$399,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
$400-$499,0,0,0,3,0,0,3,0,0,3,Tambo Crossing
$500-$649,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
$650-$799,0,0,0,0,0,0,0,0,0,3,Tambo Crossing
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Tambo Crossing
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Tambo Crossing
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,7,Tambo Crossing
"$1,750-$1,999",0,0,0,0,0,5,0,0,0,4,Tambo Crossing
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Tambo Crossing
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Tambo Crossing
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Tambo Crossing
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Tambo Crossing
Total,0,0,0,5,0,6,6,0,0,21,Tambo Crossing
Negative/Nil income,311,32,60,80,81,152,108,56,45,931,Sale
$1-$149,178,23,26,24,36,34,46,13,8,387,Sale
$150-$299,79,53,69,49,48,78,101,53,18,553,Sale
$300-$399,31,68,84,58,96,103,276,192,52,957,Sale
$400-$499,43,63,99,95,108,139,299,227,98,1164,Sale
$500-$649,51,94,106,121,131,158,205,166,59,1082,Sale
$650-$799,31,102,136,139,127,127,136,103,27,921,Sale
$800-$999 ,13,98,209,154,151,153,98,57,23,956,Sale
"$1,000-$1,249",5,78,219,159,170,175,96,45,8,945,Sale
"$1,250-$1,499",3,51,171,145,129,119,69,14,3,699,Sale
"$1,500-$1,749",0,23,171,144,129,110,43,8,6,638,Sale
"$1,750-$1,999",0,15,123,101,91,82,30,4,4,446,Sale
"$2,000-$2,999",0,10,159,169,190,130,28,0,0,686,Sale
"$3,000-$3,499",0,0,26,51,46,21,18,0,0,164,Sale
"$3,500 or more",0,0,23,46,85,72,13,4,9,250,Sale
Personal income not stated,61,57,116,124,123,99,130,111,110,928,Sale
Total,794,752,1798,1658,1741,1749,1705,1061,462,11716,Sale
Negative/Nil income,0,0,0,3,0,0,0,0,0,4,Carapook
$1-$149,0,0,0,0,0,0,0,0,0,0,Carapook
$150-$299,0,0,0,0,0,0,0,0,0,0,Carapook
$300-$399,0,0,0,0,0,0,0,0,0,3,Carapook
$400-$499,0,0,0,0,0,0,0,0,0,3,Carapook
$500-$649,0,0,0,0,0,0,0,0,0,4,Carapook
$650-$799,0,0,0,0,0,0,0,0,0,0,Carapook
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Carapook
"$1,000-$1,249",0,0,0,0,5,0,0,0,0,5,Carapook
"$1,250-$1,499",0,0,4,0,3,3,0,0,0,10,Carapook
"$1,500-$1,749",0,0,0,0,0,0,5,0,0,5,Carapook
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Carapook
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Carapook
"$3,000-$3,499",0,0,0,0,0,3,0,0,0,3,Carapook
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Carapook
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Carapook
Total,9,3,3,6,14,9,11,0,0,51,Carapook
Negative/Nil income,293,47,64,98,67,106,110,47,6,842,Chirnside Park
$1-$149,171,29,14,20,29,39,45,23,3,374,Chirnside Park
$150-$299,94,53,41,42,46,55,80,46,9,474,Chirnside Park
$300-$399,39,57,61,45,46,70,157,147,40,656,Chirnside Park
$400-$499,29,36,68,59,74,76,158,125,52,675,Chirnside Park
$500-$649,38,88,62,84,63,66,143,70,21,650,Chirnside Park
$650-$799,18,88,112,105,80,87,93,62,12,651,Chirnside Park
$800-$999 ,6,92,148,120,144,141,85,43,9,784,Chirnside Park
"$1,000-$1,249",9,83,220,186,147,148,78,30,3,909,Chirnside Park
"$1,250-$1,499",7,51,188,166,142,125,48,12,0,740,Chirnside Park
"$1,500-$1,749",0,15,187,181,146,115,26,17,0,677,Chirnside Park
"$1,750-$1,999",0,13,114,116,93,72,17,9,5,439,Chirnside Park
"$2,000-$2,999",0,6,151,230,236,133,34,10,0,799,Chirnside Park
"$3,000-$3,499",0,0,27,42,55,35,10,0,0,171,Chirnside Park
"$3,500 or more",0,0,23,56,65,40,17,8,0,213,Chirnside Park
Personal income not stated,30,33,66,71,72,56,53,45,12,424,Chirnside Park
Total,725,694,1536,1629,1502,1362,1174,691,165,9474,Chirnside Park
Negative/Nil income,3,0,0,0,0,0,0,0,0,7,Tarrone
$1-$149,0,0,0,0,0,0,0,0,0,0,Tarrone
$150-$299,0,0,0,0,0,0,0,0,0,0,Tarrone
$300-$399,0,0,0,0,0,0,4,0,0,3,Tarrone
$400-$499,0,0,0,0,0,0,0,0,0,3,Tarrone
$500-$649,0,0,0,0,0,0,0,0,0,8,Tarrone
$650-$799,0,0,0,3,0,0,0,0,0,7,Tarrone
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Tarrone
"$1,000-$1,249",0,0,0,5,0,0,0,0,0,5,Tarrone
"$1,250-$1,499",0,0,0,0,0,7,0,0,0,7,Tarrone
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Tarrone
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Tarrone
"$2,000-$2,999",0,0,0,0,0,4,0,0,0,5,Tarrone
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Tarrone
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Tarrone
Personal income not stated,0,4,0,0,0,0,0,0,0,8,Tarrone
Total,5,0,10,16,7,14,6,0,0,54,Tarrone
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Bowser
$1-$149,4,0,0,0,0,0,0,0,0,4,Bowser
$150-$299,0,0,0,0,0,0,0,0,0,0,Bowser
$300-$399,0,0,0,0,0,0,4,0,0,5,Bowser
$400-$499,0,0,0,0,0,0,0,0,0,4,Bowser
$500-$649,0,0,0,0,0,0,0,0,0,0,Bowser
$650-$799,0,0,0,3,0,0,0,0,0,5,Bowser
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Bowser
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Bowser
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Bowser
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Bowser
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Bowser
"$2,000-$2,999",0,0,0,0,4,0,0,0,0,3,Bowser
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Bowser
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Bowser
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Bowser
Total,4,5,0,7,7,0,6,0,0,32,Bowser
Negative/Nil income,78,17,22,32,30,36,29,9,5,259,Carrum
$1-$149,38,4,4,10,10,15,19,4,0,105,Carrum
$150-$299,31,16,6,21,11,19,24,18,4,147,Carrum
$300-$399,3,18,20,11,24,22,61,49,19,231,Carrum
$400-$499,4,17,13,16,24,36,70,55,17,256,Carrum
$500-$649,12,19,34,25,38,31,55,33,9,247,Carrum
$650-$799,6,23,31,33,35,39,45,22,3,246,Carrum
$800-$999 ,0,25,61,30,47,54,31,10,4,262,Carrum
"$1,000-$1,249",0,10,65,83,63,60,36,3,0,327,Carrum
"$1,250-$1,499",0,9,75,62,64,50,9,4,0,274,Carrum
"$1,500-$1,749",0,5,70,80,52,49,6,0,0,263,Carrum
"$1,750-$1,999",0,3,67,58,43,30,10,0,0,209,Carrum
"$2,000-$2,999",0,0,71,109,95,57,12,0,0,350,Carrum
"$3,000-$3,499",0,0,5,18,13,16,7,0,0,59,Carrum
"$3,500 or more",0,0,6,24,21,11,7,0,0,78,Carrum
Personal income not stated,7,11,40,26,27,23,23,19,3,177,Carrum
Total,184,178,595,650,585,562,434,225,70,3486,Carrum
Negative/Nil income,64,7,12,16,7,17,14,5,0,142,Shepparton North
$1-$149,47,0,0,6,3,0,0,0,0,59,Shepparton North
$150-$299,12,10,7,13,6,4,7,4,0,60,Shepparton North
$300-$399,8,6,9,9,4,5,16,5,0,58,Shepparton North
$400-$499,6,4,10,8,5,15,11,3,0,58,Shepparton North
$500-$649,10,6,22,17,12,5,0,0,0,72,Shepparton North
$650-$799,4,13,22,35,18,5,3,5,0,112,Shepparton North
$800-$999 ,0,10,43,34,22,7,0,0,0,126,Shepparton North
"$1,000-$1,249",0,5,38,48,29,11,0,0,0,137,Shepparton North
"$1,250-$1,499",0,9,39,38,34,6,0,0,0,127,Shepparton North
"$1,500-$1,749",0,0,30,49,18,15,0,0,0,111,Shepparton North
"$1,750-$1,999",0,0,15,23,15,10,0,0,0,64,Shepparton North
"$2,000-$2,999",0,0,15,46,32,15,0,0,0,117,Shepparton North
"$3,000-$3,499",0,0,0,8,7,0,0,0,0,23,Shepparton North
"$3,500 or more",0,0,0,17,21,12,0,0,0,53,Shepparton North
Personal income not stated,11,5,6,16,10,11,12,20,12,100,Shepparton North
Total,159,83,277,368,253,136,83,35,17,1414,Shepparton North
Negative/Nil income,0,0,0,0,0,0,4,0,0,7,Burramboot
$1-$149,0,0,0,0,0,0,0,0,0,0,Burramboot
$150-$299,0,0,0,0,0,0,0,0,0,0,Burramboot
$300-$399,0,0,0,0,0,0,0,0,0,4,Burramboot
$400-$499,0,0,0,0,0,0,0,0,0,0,Burramboot
$500-$649,0,0,0,0,0,0,0,0,0,0,Burramboot
$650-$799,0,0,0,0,0,0,0,0,0,0,Burramboot
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Burramboot
"$1,000-$1,249",0,0,0,0,0,0,0,3,0,6,Burramboot
"$1,250-$1,499",0,0,0,0,0,0,3,0,0,3,Burramboot
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Burramboot
"$1,750-$1,999",0,0,0,0,0,3,0,0,0,3,Burramboot
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Burramboot
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Burramboot
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Burramboot
Personal income not stated,0,0,0,4,0,0,0,0,0,0,Burramboot
Total,0,0,0,6,0,9,8,4,0,30,Burramboot
Negative/Nil income,5,0,0,0,3,3,3,0,0,17,Stanley (Vic.)
$1-$149,6,0,0,0,0,4,3,0,0,15,Stanley (Vic.)
$150-$299,0,0,0,0,0,5,3,0,0,16,Stanley (Vic.)
$300-$399,0,0,0,3,0,8,13,0,0,17,Stanley (Vic.)
$400-$499,0,0,3,0,3,9,18,5,5,32,Stanley (Vic.)
$500-$649,0,7,0,10,0,12,0,0,0,30,Stanley (Vic.)
$650-$799,0,0,5,0,10,11,5,4,0,26,Stanley (Vic.)
$800-$999 ,0,3,0,0,0,7,4,4,0,21,Stanley (Vic.)
"$1,000-$1,249",0,0,0,4,0,10,6,0,0,24,Stanley (Vic.)
"$1,250-$1,499",0,0,5,4,4,11,8,0,0,26,Stanley (Vic.)
"$1,500-$1,749",0,0,0,5,7,4,6,0,0,27,Stanley (Vic.)
"$1,750-$1,999",0,0,0,3,0,3,4,0,0,18,Stanley (Vic.)
"$2,000-$2,999",0,0,0,5,8,0,0,0,0,12,Stanley (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,4,Stanley (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Stanley (Vic.)
Personal income not stated,0,0,5,9,0,3,4,0,0,22,Stanley (Vic.)
Total,20,11,21,47,36,81,73,22,5,308,Stanley (Vic.)
Negative/Nil income,4,0,0,0,0,0,0,0,0,4,Simpsons Creek
$1-$149,0,0,0,0,0,0,0,0,0,0,Simpsons Creek
$150-$299,0,0,0,0,0,0,0,0,0,0,Simpsons Creek
$300-$399,0,0,0,0,0,0,0,0,0,3,Simpsons Creek
$400-$499,0,0,0,0,0,0,0,0,0,5,Simpsons Creek
$500-$649,0,0,0,0,0,0,0,0,0,5,Simpsons Creek
$650-$799,0,0,0,0,0,0,0,0,0,0,Simpsons Creek
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Simpsons Creek
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,5,Simpsons Creek
"$1,250-$1,499",0,0,4,0,0,0,0,0,0,7,Simpsons Creek
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Simpsons Creek
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Simpsons Creek
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Simpsons Creek
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Simpsons Creek
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Simpsons Creek
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Simpsons Creek
Total,4,3,9,0,7,16,5,0,0,39,Simpsons Creek
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Terrappee
$1-$149,0,0,0,0,0,0,0,0,0,0,Terrappee
$150-$299,0,0,0,0,0,0,0,0,0,0,Terrappee
$300-$399,0,0,0,0,0,0,0,0,0,0,Terrappee
$400-$499,0,0,0,0,0,0,0,0,0,0,Terrappee
$500-$649,0,0,0,0,0,0,0,0,0,0,Terrappee
$650-$799,0,0,0,0,0,0,0,0,0,0,Terrappee
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Terrappee
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,3,Terrappee
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,5,Terrappee
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Terrappee
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Terrappee
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Terrappee
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Terrappee
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Terrappee
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Terrappee
Total,4,5,0,0,8,5,0,0,0,22,Terrappee
Negative/Nil income,4,0,0,0,0,0,0,0,0,5,Toora North
$1-$149,4,0,0,0,0,4,0,0,0,8,Toora North
$150-$299,0,0,0,0,0,0,0,0,0,4,Toora North
$300-$399,0,0,0,0,0,3,5,3,0,8,Toora North
$400-$499,0,0,0,0,0,9,5,0,0,18,Toora North
$500-$649,0,0,0,0,0,0,4,0,0,4,Toora North
$650-$799,0,0,0,0,0,0,4,0,0,3,Toora North
$800-$999 ,0,0,0,0,0,0,0,0,0,5,Toora North
"$1,000-$1,249",0,0,0,0,4,3,6,0,0,11,Toora North
"$1,250-$1,499",0,0,0,0,3,0,0,0,0,9,Toora North
"$1,500-$1,749",0,0,0,0,3,0,0,0,0,3,Toora North
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Toora North
"$2,000-$2,999",0,0,0,0,4,0,0,0,0,5,Toora North
"$3,000-$3,499",0,0,0,0,0,4,0,0,0,3,Toora North
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Toora North
Personal income not stated,0,0,4,0,0,0,6,0,0,8,Toora North
Total,4,0,3,8,17,25,23,7,5,93,Toora North
Negative/Nil income,6,0,0,0,0,7,0,0,0,15,Big Hill (Greater Bendigo - Vic.)
$1-$149,4,0,0,0,0,0,0,0,0,4,Big Hill (Greater Bendigo - Vic.)
$150-$299,5,0,0,0,0,3,0,4,0,16,Big Hill (Greater Bendigo - Vic.)
$300-$399,0,0,0,0,0,0,6,0,0,13,Big Hill (Greater Bendigo - Vic.)
$400-$499,0,0,3,0,0,0,4,3,0,15,Big Hill (Greater Bendigo - Vic.)
$500-$649,0,0,0,0,3,7,0,0,0,18,Big Hill (Greater Bendigo - Vic.)
$650-$799,0,0,0,0,0,3,0,0,0,9,Big Hill (Greater Bendigo - Vic.)
$800-$999 ,0,3,5,3,3,3,0,0,0,19,Big Hill (Greater Bendigo - Vic.)
"$1,000-$1,249",0,0,9,8,4,6,0,0,0,33,Big Hill (Greater Bendigo - Vic.)
"$1,250-$1,499",0,0,3,0,4,3,0,0,0,11,Big Hill (Greater Bendigo - Vic.)
"$1,500-$1,749",0,0,4,3,0,3,0,0,0,12,Big Hill (Greater Bendigo - Vic.)
"$1,750-$1,999",0,0,0,4,0,4,0,0,0,8,Big Hill (Greater Bendigo - Vic.)
"$2,000-$2,999",0,0,7,7,4,3,0,0,0,12,Big Hill (Greater Bendigo - Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Big Hill (Greater Bendigo - Vic.)
"$3,500 or more",0,0,0,5,0,0,0,0,0,5,Big Hill (Greater Bendigo - Vic.)
Personal income not stated,0,0,0,3,3,6,0,0,0,18,Big Hill (Greater Bendigo - Vic.)
Total,14,11,31,45,39,40,17,14,7,209,Big Hill (Greater Bendigo - Vic.)
Negative/Nil income,10,3,3,3,4,7,3,0,0,41,Jindivick
$1-$149,3,0,0,0,3,3,4,0,0,12,Jindivick
$150-$299,5,0,4,5,0,4,4,0,0,20,Jindivick
$300-$399,0,0,7,3,5,10,13,0,0,31,Jindivick
$400-$499,3,0,3,0,0,0,10,10,6,38,Jindivick
$500-$649,5,7,0,0,4,8,13,8,4,55,Jindivick
$650-$799,0,3,0,8,5,5,3,3,0,35,Jindivick
$800-$999 ,0,6,4,5,3,20,8,3,0,49,Jindivick
"$1,000-$1,249",0,3,5,4,9,5,6,4,0,34,Jindivick
"$1,250-$1,499",0,0,5,7,10,9,3,0,0,36,Jindivick
"$1,500-$1,749",0,0,3,8,6,14,0,0,0,32,Jindivick
"$1,750-$1,999",0,0,0,8,9,0,0,0,0,25,Jindivick
"$2,000-$2,999",0,0,0,9,9,7,0,0,0,27,Jindivick
"$3,000-$3,499",0,0,0,0,3,0,3,0,0,8,Jindivick
"$3,500 or more",0,0,0,0,5,5,5,0,0,14,Jindivick
Personal income not stated,0,0,0,0,3,9,5,3,5,29,Jindivick
Total,40,23,41,63,82,116,79,46,12,493,Jindivick
Negative/Nil income,0,0,0,0,3,6,0,0,0,10,Cape Clear
$1-$149,3,0,0,0,4,0,0,0,0,5,Cape Clear
$150-$299,0,0,0,0,0,0,5,0,0,7,Cape Clear
$300-$399,0,0,0,0,0,7,9,7,0,18,Cape Clear
$400-$499,0,0,0,0,0,3,4,3,3,14,Cape Clear
$500-$649,0,0,0,0,0,0,4,10,0,12,Cape Clear
$650-$799,0,0,0,3,0,3,0,0,0,11,Cape Clear
$800-$999 ,4,0,4,5,0,5,3,0,0,20,Cape Clear
"$1,000-$1,249",0,0,0,0,0,3,0,0,0,9,Cape Clear
"$1,250-$1,499",0,0,0,0,0,3,0,0,0,11,Cape Clear
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,4,Cape Clear
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Cape Clear
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Cape Clear
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Cape Clear
"$3,500 or more",0,0,0,0,0,0,0,0,0,5,Cape Clear
Personal income not stated,3,0,0,0,0,0,0,0,0,6,Cape Clear
Total,8,5,8,11,23,25,24,17,3,127,Cape Clear
Negative/Nil income,6,0,0,0,0,0,5,0,0,10,Bochara
$1-$149,0,0,0,0,0,0,0,0,0,0,Bochara
$150-$299,4,0,0,0,0,0,0,0,0,6,Bochara
$300-$399,0,0,0,0,3,0,0,0,0,7,Bochara
$400-$499,0,0,0,0,0,0,6,0,0,5,Bochara
$500-$649,0,0,0,0,0,5,0,0,0,5,Bochara
$650-$799,0,0,0,0,0,4,0,0,0,5,Bochara
$800-$999 ,0,0,0,0,0,5,0,0,0,9,Bochara
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,4,Bochara
"$1,250-$1,499",0,0,3,0,0,0,0,0,0,3,Bochara
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Bochara
"$1,750-$1,999",0,0,0,0,4,0,0,0,0,3,Bochara
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Bochara
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Bochara
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Bochara
Personal income not stated,3,0,0,0,3,4,0,0,0,4,Bochara
Total,11,0,0,0,14,19,8,4,0,65,Bochara
Negative/Nil income,12,4,3,0,7,3,0,0,0,27,Iona
$1-$149,3,0,0,0,0,0,0,0,0,3,Iona
$150-$299,0,0,0,0,0,0,0,0,0,9,Iona
$300-$399,3,4,0,0,0,0,8,5,0,19,Iona
$400-$499,0,0,0,3,4,0,6,0,5,21,Iona
$500-$649,4,4,0,0,5,0,3,0,0,16,Iona
$650-$799,0,0,6,5,0,3,0,0,0,11,Iona
$800-$999 ,0,4,4,0,4,0,5,0,0,21,Iona
"$1,000-$1,249",0,6,0,0,3,3,0,4,0,15,Iona
"$1,250-$1,499",0,0,0,0,5,3,4,0,0,16,Iona
"$1,500-$1,749",0,0,0,6,0,0,4,0,0,9,Iona
"$1,750-$1,999",0,0,0,0,0,3,0,0,0,10,Iona
"$2,000-$2,999",0,0,0,0,3,3,0,0,0,7,Iona
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Iona
"$3,500 or more",0,0,0,0,3,0,0,0,0,8,Iona
Personal income not stated,4,0,0,9,0,3,0,0,0,16,Iona
Total,30,17,9,22,46,26,29,14,6,210,Iona
Negative/Nil income,3,0,0,3,3,0,4,0,0,17,Three Bridges
$1-$149,0,0,0,0,0,0,0,0,0,3,Three Bridges
$150-$299,0,0,0,0,0,4,0,0,0,6,Three Bridges
$300-$399,0,0,0,0,0,0,5,4,0,12,Three Bridges
$400-$499,0,4,4,0,0,5,0,0,0,18,Three Bridges
$500-$649,0,5,0,0,0,0,0,0,0,14,Three Bridges
$650-$799,0,0,4,0,3,5,4,0,0,16,Three Bridges
$800-$999 ,0,0,0,0,0,5,0,0,0,12,Three Bridges
"$1,000-$1,249",0,0,4,0,0,3,3,0,0,17,Three Bridges
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,4,Three Bridges
"$1,500-$1,749",0,0,0,0,0,4,0,0,0,5,Three Bridges
"$1,750-$1,999",0,0,4,0,0,0,0,0,0,6,Three Bridges
"$2,000-$2,999",0,0,0,3,7,0,0,0,0,13,Three Bridges
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Three Bridges
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Three Bridges
Personal income not stated,0,0,0,0,0,4,0,0,0,12,Three Bridges
Total,7,18,21,12,28,40,27,8,0,158,Three Bridges
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
$1-$149,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
$150-$299,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
$300-$399,0,0,0,0,0,0,3,0,0,3,Cabbage Tree
$400-$499,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
$500-$649,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
$650-$799,0,0,0,0,0,0,3,0,0,3,Cabbage Tree
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,5,Cabbage Tree
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Cabbage Tree
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Cabbage Tree
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Cabbage Tree
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Cabbage Tree
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Cabbage Tree
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Cabbage Tree
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Cabbage Tree
Total,0,0,0,0,4,3,9,4,0,10,Cabbage Tree
Negative/Nil income,0,0,0,0,0,0,5,0,0,7,Langkoop
$1-$149,3,0,0,0,0,0,0,0,0,8,Langkoop
$150-$299,0,0,0,0,0,0,0,0,0,0,Langkoop
$300-$399,0,0,0,0,0,0,0,0,0,5,Langkoop
$400-$499,0,0,3,0,3,0,0,0,0,8,Langkoop
$500-$649,0,0,0,0,0,0,0,0,0,3,Langkoop
$650-$799,0,0,0,0,0,4,0,0,0,9,Langkoop
$800-$999 ,0,0,0,0,4,0,0,0,0,5,Langkoop
"$1,000-$1,249",0,0,0,4,0,0,0,0,0,7,Langkoop
"$1,250-$1,499",0,0,5,3,3,0,0,0,0,7,Langkoop
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Langkoop
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Langkoop
"$2,000-$2,999",0,0,0,0,0,3,0,0,0,7,Langkoop
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Langkoop
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Langkoop
Personal income not stated,0,0,0,0,0,0,6,0,0,8,Langkoop
Total,8,3,11,9,14,14,7,10,0,83,Langkoop
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
$1-$149,0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
$150-$299,0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
$300-$399,0,0,0,0,0,0,0,0,0,6,Staffordshire Reef
$400-$499,0,0,0,0,0,0,0,0,0,3,Staffordshire Reef
$500-$649,0,0,0,0,0,0,3,0,0,6,Staffordshire Reef
$650-$799,0,0,0,0,0,4,3,0,0,8,Staffordshire Reef
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
"$1,250-$1,499",0,0,3,0,0,0,0,0,0,8,Staffordshire Reef
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,3,Staffordshire Reef
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Staffordshire Reef
Personal income not stated,0,0,0,0,0,0,7,0,0,7,Staffordshire Reef
Total,0,0,5,3,5,13,10,6,0,51,Staffordshire Reef
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Terip Terip
$1-$149,0,0,0,0,0,0,0,0,0,3,Terip Terip
$150-$299,0,0,0,0,0,0,0,4,0,6,Terip Terip
$300-$399,0,0,0,0,0,0,0,0,0,3,Terip Terip
$400-$499,0,0,0,0,0,0,0,0,3,4,Terip Terip
$500-$649,0,0,0,0,0,0,0,0,0,3,Terip Terip
$650-$799,0,0,0,0,0,0,0,0,0,0,Terip Terip
$800-$999 ,0,0,0,0,0,0,0,0,0,5,Terip Terip
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,4,Terip Terip
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Terip Terip
"$1,500-$1,749",0,0,0,3,0,4,0,3,0,11,Terip Terip
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Terip Terip
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,6,Terip Terip
"$3,000-$3,499",0,0,0,0,0,0,6,0,0,3,Terip Terip
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Terip Terip
